Date,Y
2012/12/17,2.293333
2012/12/18,2.306
2012/12/19,2.307333
2012/12/20,2.295333
2012/12/21,2.266667
2012/12/24,2.285333
2012/12/26,2.239333
2012/12/27,2.246
2012/12/28,2.214667
2012/12/31,2.258
2013/1/2,2.357333
2013/1/3,2.318
2013/1/4,2.293333
2013/1/7,2.289333
2013/1/8,2.245333
2013/1/9,2.242667
2013/1/10,2.235333
2013/1/11,2.194
2013/1/14,2.217333
2013/1/15,2.26
2013/1/16,2.273333
2013/1/17,2.292
2013/1/18,2.301333
2013/1/22,2.346
2013/1/23,2.4
2013/1/24,2.466
2013/1/25,2.465333
2013/1/28,2.535333
2013/1/29,2.53
2013/1/30,2.501333
2013/1/31,2.500667
2013/2/1,2.553333
2013/2/4,2.516
2013/2/5,2.542
2013/2/6,2.611333
2013/2/7,2.632
2013/2/8,2.616
2013/2/11,2.561333
2013/2/12,2.526
2013/2/13,2.563333
2013/2/14,2.551333
2013/2/15,2.469333
2013/2/19,2.618667
2013/2/20,2.569333
2013/2/21,2.344
2013/2/22,2.407333
2013/2/25,2.292
2013/2/26,2.295333
2013/2/27,2.34
2013/2/28,2.322
2013/3/1,2.31
2013/3/4,2.372
2013/3/5,2.443333
2013/3/6,2.512667
2013/3/7,2.548667
2013/3/8,2.564667
2013/3/11,2.606667
2013/3/12,2.608
2013/3/13,2.598667
2013/3/14,2.456667
2013/3/15,2.352667
2013/3/18,2.343333
2013/3/19,2.338667
2013/3/20,2.396667
2013/3/21,2.400667
2013/3/22,2.441333
2013/3/25,2.502
2013/3/26,2.524
2013/3/27,2.544
2013/3/28,2.526
2013/4/1,2.928667
2013/4/2,2.956
2013/4/3,2.74
2013/4/4,2.800667
2013/4/5,2.758
2013/4/8,2.788667
2013/4/9,2.7
2013/4/10,2.790667
2013/4/11,2.906
2013/4/12,2.916667
2013/4/15,2.886667
2013/4/16,3.039333
2013/4/17,3.03
2013/4/18,3.131333
2013/4/19,3.188667
2013/4/22,3.346
2013/4/23,3.400667
2013/4/24,3.362
2013/4/25,3.466667
2013/4/26,3.413333
2013/4/29,3.662667
2013/4/30,3.599333
2013/5/1,3.552
2013/5/2,3.607333
2013/5/3,3.636667
2013/5/6,3.966667
2013/5/7,3.700667
2013/5/8,3.719333
2013/5/9,4.626667
2013/5/10,5.117333
2013/5/13,5.853333
2013/5/14,5.549333
2013/5/15,5.656
2013/5/16,6.15
2013/5/17,6.1
2013/5/20,5.996
2013/5/21,5.839333
2013/5/22,5.816
2013/5/23,6.182
2013/5/24,6.472
2013/5/28,7.355333
2013/5/29,6.975333
2013/5/30,6.996667
2013/5/31,6.517333
2013/6/3,6.172667
2013/6/4,6.322667
2013/6/5,6.358
2013/6/6,6.49
2013/6/7,6.802667
2013/6/10,6.67
2013/6/11,6.298
2013/6/12,6.515333
2013/6/13,6.545333
2013/6/14,6.686667
2013/6/17,6.813333
2013/6/18,6.892667
2013/6/19,6.978667
2013/6/20,6.71
2013/6/21,6.636667
2013/6/24,6.766
2013/6/25,6.826667
2013/6/26,7.048
2013/6/27,7.283333
2013/6/28,7.157333
2013/7/1,7.812
2013/7/2,7.854667
2013/7/3,7.682667
2013/7/5,8.006
2013/7/8,8.107333
2013/7/9,8.23
2013/7/10,8.151333
2013/7/11,8.374
2013/7/12,8.66
2013/7/15,8.484
2013/7/16,7.27
2013/7/17,8.016667
2013/7/18,7.935333
2013/7/19,7.978667
2013/7/22,8.162
2013/7/23,8.182667
2013/7/24,8.113333
2013/7/25,8.271333
2013/7/26,8.626
2013/7/29,8.974667
2013/7/30,8.782667
2013/7/31,8.952
2013/8/1,9.036667
2013/8/2,9.2
2013/8/5,9.645333
2013/8/6,9.476667
2013/8/7,8.948667
2013/8/8,10.232
2013/8/9,10.2
2013/8/12,9.825333
2013/8/13,9.695333
2013/8/14,9.290667
2013/8/15,9.311333
2013/8/16,9.466667
2013/8/19,9.66
2013/8/20,9.972
2013/8/21,9.857333
2013/8/22,10.473333
2013/8/23,10.789333
2013/8/26,10.948
2013/8/27,11.134
2013/8/28,11.096667
2013/8/29,11.070667
2013/8/30,11.266667
2013/9/3,11.262667
2013/9/4,11.374667
2013/9/5,11.328667
2013/9/6,11.131333
2013/9/9,10.713333
2013/9/10,11.091333
2013/9/11,10.901333
2013/9/12,10.995333
2013/9/13,11.036
2013/9/16,11.105333
2013/9/17,11.082
2013/9/18,11.081333
2013/9/19,11.861333
2013/9/20,12.226
2013/9/23,12.074
2013/9/24,12.155333
2013/9/25,12.349333
2013/9/26,12.576
2013/9/27,12.726667
2013/9/30,12.891333
2013/10/1,12.866667
2013/10/2,12.063333
2013/10/3,11.554
2013/10/4,12.065333
2013/10/7,12.204667
2013/10/8,11.648667
2013/10/9,11.252
2013/10/10,11.528667
2013/10/11,11.913333
2013/10/14,11.981333
2013/10/15,12.262667
2013/10/16,12.237333
2013/10/17,12.186667
2013/10/18,12.226667
2013/10/21,11.506667
2013/10/22,11.436
2013/10/23,10.966667
2013/10/24,11.543333
2013/10/25,11.310667
2013/10/28,10.857333
2013/10/29,10.964667
2013/10/30,10.614667
2013/10/31,10.662667
2013/11/1,10.811333
2013/11/4,11.68
2013/11/5,11.787333
2013/11/6,10.077333
2013/11/7,9.318
2013/11/8,9.196667
2013/11/11,9.646667
2013/11/12,9.186667
2013/11/13,9.246667
2013/11/14,9.173333
2013/11/15,9.03
2013/11/18,8.105333
2013/11/19,8.406
2013/11/20,8.074
2013/11/21,8.14
2013/11/22,8.092
2013/11/25,8.056
2013/11/26,8.033333
2013/11/27,8.462667
2013/11/29,8.485333
2013/12/2,8.278
2013/12/3,9.646667
2013/12/4,9.263333
2013/12/5,9.365333
2013/12/6,9.157333
2013/12/9,9.44
2013/12/10,9.479333
2013/12/11,9.31
2013/12/12,9.831333
2013/12/13,9.843333
2013/12/16,9.862667
2013/12/17,10.164
2013/12/18,9.865333
2013/12/19,9.381333
2013/12/20,9.549333
2013/12/23,9.57
2013/12/24,10.094
2013/12/26,10.366667
2013/12/27,10.074667
2013/12/30,10.162667
2013/12/31,10.028667
2014/1/2,10.006667
2014/1/3,9.970667
2014/1/6,9.8
2014/1/7,9.957333
2014/1/8,10.085333
2014/1/9,9.835333
2014/1/10,9.714667
2014/1/13,9.289333
2014/1/14,10.751333
2014/1/15,10.942
2014/1/16,11.398
2014/1/17,11.334
2014/1/21,11.778667
2014/1/22,11.904
2014/1/23,12.1
2014/1/24,11.64
2014/1/27,11.308
2014/1/28,11.892
2014/1/29,11.682
2014/1/30,12.189333
2014/1/31,12.094
2014/2/3,11.807333
2014/2/4,11.915333
2014/2/5,11.628
2014/2/6,11.892
2014/2/7,12.435333
2014/2/10,13.104
2014/2/11,13.108
2014/2/12,13.021333
2014/2/13,13.308667
2014/2/14,13.215333
2014/2/18,13.58
2014/2/19,12.909333
2014/2/20,13.998
2014/2/21,13.973333
2014/2/24,14.51
2014/2/25,16.533333
2014/2/26,16.866667
2014/2/27,16.836
2014/2/28,16.320667
2014/3/3,16.704
2014/3/4,16.989332
2014/3/5,16.844
2014/3/6,16.862667
2014/3/7,16.414
2014/3/10,15.922667
2014/3/11,15.627333
2014/3/12,16.099333
2014/3/13,15.852667
2014/3/14,15.398
2014/3/17,15.598667
2014/3/18,16.002666
2014/3/19,15.722667
2014/3/20,15.660667
2014/3/21,15.259333
2014/3/24,14.678
2014/3/25,14.696
2014/3/26,14.197333
2014/3/27,13.821333
2014/3/28,14.158
2014/3/31,13.896667
2014/4/1,14.464667
2014/4/2,15.352667
2014/4/3,15.026667
2014/4/4,14.148667
2014/4/7,13.834667
2014/4/8,14.364
2014/4/9,14.462
2014/4/10,13.612667
2014/4/11,13.585333
2014/4/14,13.206
2014/4/15,12.927333
2014/4/16,13.274
2014/4/17,13.208
2014/4/21,13.625333
2014/4/22,14.576
2014/4/23,13.866
2014/4/24,13.857333
2014/4/25,13.323333
2014/4/28,13.234
2014/4/29,13.794667
2014/4/30,13.859333
2014/5/1,13.848667
2014/5/2,14.060667
2014/5/5,14.440667
2014/5/6,13.818667
2014/5/7,13.423333
2014/5/8,11.906
2014/5/9,12.150667
2014/5/12,12.311333
2014/5/13,12.677333
2014/5/14,12.708
2014/5/15,12.572667
2014/5/16,12.770667
2014/5/19,13.072667
2014/5/20,13.02
2014/5/21,13.296667
2014/5/22,13.658667
2014/5/23,13.82
2014/5/27,14.104
2014/5/28,14.016
2014/5/29,14.016
2014/5/30,13.851333
2014/6/2,13.646667
2014/6/3,13.662667
2014/6/4,13.599333
2014/6/5,13.793333
2014/6/6,13.878
2014/6/9,13.687333
2014/6/10,13.486667
2014/6/11,13.631333
2014/6/12,13.568
2014/6/13,13.761333
2014/6/16,14.974
2014/6/17,15.444667
2014/6/18,15.141333
2014/6/19,15.186
2014/6/20,15.306
2014/6/23,15.814667
2014/6/24,15.5
2014/6/25,15.792667
2014/6/26,15.706667
2014/6/27,15.937333
2014/6/30,16.004
2014/7/1,15.981333
2014/7/2,15.295333
2014/7/3,15.283333
2014/7/7,14.844
2014/7/8,14.604667
2014/7/9,14.870667
2014/7/10,14.630667
2014/7/11,14.542
2014/7/14,15.113333
2014/7/15,14.638667
2014/7/16,14.477333
2014/7/17,14.36
2014/7/18,14.668
2014/7/21,14.702667
2014/7/22,14.638667
2014/7/23,14.832667
2014/7/24,14.902667
2014/7/25,14.904667
2014/7/28,14.988
2014/7/29,15.000667
2014/7/30,15.261333
2014/7/31,14.886667
2014/8/1,15.551333
2014/8/4,15.901333
2014/8/5,15.899333
2014/8/6,16.595333
2014/8/7,16.826
2014/8/8,16.542
2014/8/11,17.288
2014/8/12,17.330667
2014/8/13,17.354
2014/8/14,17.425333
2014/8/15,17.467333
2014/8/18,17.329332
2014/8/19,17.117332
2014/8/20,17.047333
2014/8/21,16.955999
2014/8/22,17.118668
2014/8/25,17.503332
2014/8/26,17.449333
2014/8/27,17.549999
2014/8/28,17.590668
2014/8/29,17.98
2014/9/2,18.941334
2014/9/3,18.746
2014/9/4,19.069332
2014/9/5,18.492666
2014/9/8,18.807333
2014/9/9,18.565332
2014/9/10,18.74
2014/9/11,18.687332
2014/9/12,18.613333
2014/9/15,16.924
2014/9/16,17.382668
2014/9/17,17.425333
2014/9/18,17.587999
2014/9/19,17.288
2014/9/22,16.668667
2014/9/23,16.694
2014/9/24,16.809334
2014/9/25,16.463333
2014/9/26,16.440001
2014/9/29,16.350668
2014/9/30,16.178667
2014/10/1,16.016001
2014/10/2,16.761333
2014/10/3,17.014
2014/10/6,17.374666
2014/10/7,17.304667
2014/10/8,17.285334
2014/10/9,17.134001
2014/10/10,15.794
2014/10/13,14.972667
2014/10/14,15.137333
2014/10/15,15.313333
2014/10/16,15.09
2014/10/17,15.165333
2014/10/20,15.364667
2014/10/21,15.689333
2014/10/22,15.406667
2014/10/23,15.686
2014/10/24,15.682667
2014/10/27,14.778
2014/10/28,16.184668
2014/10/29,15.873333
2014/10/30,15.910667
2014/10/31,16.113333
2014/11/3,16.172667
2014/11/4,15.928667
2014/11/5,15.398
2014/11/6,16.081333
2014/11/7,16.013332
2014/11/10,16.128668
2014/11/11,16.738667
2014/11/12,16.606667
2014/11/13,16.780001
2014/11/14,17.245333
2014/11/17,16.931999
2014/11/18,17.18
2014/11/19,16.516001
2014/11/20,16.580667
2014/11/21,16.185333
2014/11/24,16.448
2014/11/25,16.539333
2014/11/26,16.562668
2014/11/28,16.301332
2014/12/1,15.442667
2014/12/2,15.428667
2014/12/3,15.286667
2014/12/4,15.218667
2014/12/5,14.914
2014/12/8,14.290667
2014/12/9,14.459333
2014/12/10,13.989333
2014/12/11,13.925333
2014/12/12,13.8
2014/12/15,13.602667
2014/12/16,13.187333
2014/12/17,13.721333
2014/12/18,14.550667
2014/12/19,14.619333
2014/12/22,14.84
2014/12/23,14.731333
2014/12/24,14.817333
2014/12/26,15.188
2014/12/29,15.047333
2014/12/30,14.815333
2014/12/31,14.827333
2015/1/2,14.620667
2015/1/5,14.006
2015/1/6,14.085333
2015/1/7,14.063333
2015/1/8,14.041333
2015/1/9,13.777333
2015/1/12,13.480667
2015/1/13,13.616667
2015/1/14,12.846
2015/1/15,12.791333
2015/1/16,12.871333
2015/1/20,12.795333
2015/1/21,13.104667
2015/1/22,13.441333
2015/1/23,13.419333
2015/1/26,13.77
2015/1/27,13.732
2015/1/28,13.291333
2015/1/29,13.68
2015/1/30,13.573333
2015/2/2,14.062667
2015/2/3,14.557333
2015/2/4,14.57
2015/2/5,14.732667
2015/2/6,14.490667
2015/2/9,14.498667
2015/2/10,14.419333
2015/2/11,14.186667
2015/2/12,13.525333
2015/2/13,13.584667
2015/2/17,13.623333
2015/2/18,13.630667
2015/2/19,14.114
2015/2/20,14.474
2015/2/23,13.822667
2015/2/24,13.607333
2015/2/25,13.584
2015/2/26,13.812667
2015/2/27,13.556
2015/3/2,13.155333
2015/3/3,13.304
2015/3/4,13.496
2015/3/5,13.375333
2015/3/6,12.925333
2015/3/9,12.725333
2015/3/10,12.688
2015/3/11,12.916
2015/3/12,12.738
2015/3/13,12.578667
2015/3/16,13.046667
2015/3/17,12.982
2015/3/18,13.380667
2015/3/19,13.043333
2015/3/20,13.205333
2015/3/23,13.308667
2015/3/24,13.448
2015/3/25,12.953333
2015/3/26,12.694
2015/3/27,12.333333
2015/3/30,12.704667
2015/3/31,12.584667
2015/4/1,12.506
2015/4/2,12.733333
2015/4/6,13.54
2015/4/7,13.55
2015/4/8,13.844667
2015/4/9,14.006
2015/4/10,14.06
2015/4/13,13.985333
2015/4/14,13.830667
2015/4/15,13.855333
2015/4/16,13.78
2015/4/17,13.786
2015/4/20,13.684667
2015/4/21,13.960667
2015/4/22,14.629333
2015/4/23,14.573333
2015/4/24,14.562
2015/4/27,15.436667
2015/4/28,15.365333
2015/4/29,15.496667
2015/4/30,15.07
2015/5/1,15.068667
2015/5/4,15.367333
2015/5/5,15.53
2015/5/6,15.362
2015/5/7,15.786667
2015/5/8,15.774
2015/5/11,15.966
2015/5/12,16.316
2015/5/13,16.212
2015/5/14,16.273333
2015/5/15,16.589333
2015/5/18,16.583332
2015/5/19,16.476
2015/5/20,16.290001
2015/5/21,16.374666
2015/5/22,16.515333
2015/5/26,16.497334
2015/5/27,16.495333
2015/5/28,16.763332
2015/5/29,16.719999
2015/6/1,16.629999
2015/6/2,16.556667
